Artikel	Bolag	"Adr klass"	RID-S-klassificering	Klassificeringskod	Packningsgrupp	Packningsinstruktioner	"Särskilda Packningsföreskrifter"	"Särskilda Packningsinslag"	"Särskilda Föreskrifter"	Tunnelbegränsningar	"Un nummer"	Transportnamn	Varningsetikett	Miljörisk	"Föreskrift för begränsad mängd"	"Föreskrift för minskad mängd"	Flampunkt	Lastningskoder	Användarinstruktioner	Farokod	Säkerhetsbroschyr	"Länk till säkerhetsbroschyr"	IMDG-KOD	ICAO-TI	"Minsta temperatur"	Hållbarhetstid	Temperaturkänslighet	"Vikt netto"	"Volym (L)"	"Farligt gods nivå"
1018070	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018114	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018121	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018133	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018143	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018149	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018158	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018193	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018198	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018205	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018207	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018210	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018211	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018225	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018238	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018245	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018258	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018261	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018264	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1018272	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
